"Host","Count"
"amoeba",1
"cat",1
"chicken",1
"duck",1
"homo sapiens female",1
"lemur",1
"leptinotarsa decemlineata (colorado potato beetle)",1
"macaca fascicularis",1
"swine",1
"dog",2
"missing",4
"horse",5
"dairy cows",15
"",31
"homo sapiens",213
