VFGID,VFID,VFCID
VFG000198,VF0083,VFC0086
VFG000199,VF0083,VFC0086
VFG000200,VF0083,VFC0086
VFG000201,VF0083,VFC0086
VFG000202,VF0083,VFC0086
VFG000203,VF0083,VFC0086
VFG000204,VF0083,VFC0086
VFG000205,VF0083,VFC0086
VFG000206,VF0083,VFC0086
VFG000207,VF0083,VFC0086
VFG000208,VF0083,VFC0086
VFG000209,VF0083,VFC0086
VFG000210,VF0083,VFC0086
VFG000211,VF0083,VFC0086
VFG000212,VF0083,VFC0086
VFG000213,VF0083,VFC0086
VFG000214,VF0083,VFC0086
VFG000215,VF0083,VFC0086
VFG000216,VF0083,VFC0086
VFG000217,VF0083,VFC0086
VFG000218,VF0083,VFC0086
VFG000219,VF0083,VFC0086
VFG000220,VF0083,VFC0086
VFG000221,VF0075,VFC0001
VFG000222,VF0075,VFC0001
VFG000223,VF0075,VFC0001
VFG000225,VF0075,VFC0001
VFG000227,VF0075,VFC0001
VFG000228,VF0075,VFC0001
VFG000230,VF0075,VFC0001
VFG000232,VF0075,VFC0001
VFG000233,VF0075,VFC0001
VFG000234,VF0075,VFC0001
VFG000235,VF0075,VFC0001
VFG000236,VF0076,VFC0083
VFG000240,VF0077,VFC0083
VFG000241,VF0078,VFC0258
VFG000242,VF0078,VFC0258
VFG000243,VF0078,VFC0258
VFG000244,VF0078,VFC0258
VFG000245,VF0078,VFC0258
VFG000246,VF0078,VFC0258
VFG000247,VF0078,VFC0258
VFG000249,VF0272,VFC0272
VFG000250,VF0081,VFC0083
VFG000252,VF0079,VFC0258
VFG000253,VF0079,VFC0258
VFG000254,VF0079,VFC0258
VFG000255,VF0079,VFC0258
VFG000256,VF0079,VFC0258
VFG000257,VF0079,VFC0258
VFG000258,VF0079,VFC0258
VFG000259,VF0079,VFC0258
VFG000260,VF0079,VFC0258
VFG000261,VF0080,VFC0086
VFG000262,VF0046,VFC0272
VFG000263,VF0046,VFC0272
VFG000264,VF0047,VFC0272
VFG000265,VF0047,VFC0272
VFG000266,VF0048,VFC0272
VFG000267,VF0049,VFC0272
VFG000268,VF0049,VFC0272
VFG000269,VF0050,VFC0282
VFG000270,VF0050,VFC0282
VFG000271,VF0050,VFC0282
VFG000272,VF0050,VFC0282
VFG000273,VF0050,VFC0282
VFG000274,VF0050,VFC0282
VFG000275,VF0050,VFC0282
VFG000276,VF0051,VFC0204
VFG000277,VF0051,VFC0204
VFG000278,VF0051,VFC0204
VFG000279,VF0058,VFC0235
VFG000280,VF0060,VFC0086
VFG000282,VF0060,VFC0086
VFG000283,VF0060,VFC0086
VFG000284,VF0060,VFC0086
VFG000285,VF0060,VFC0086
VFG000286,VF0060,VFC0086
VFG000287,VF0060,VFC0086
